tender_id,bidder_id,tender_value,bid_value,award_status,submission_date,department,location
TEND_00110,COMP_066,4824183,845101.0,Lost,2024-10-14,Education,Chennai
TEND_01511,COMP_098,3416612,4145612.0,Lost,2023-09-25,Education,Mumbai
TEND_00939,COMP_058,8461855,5922845.0,Lost,2024-07-02,Infrastructure,Delhi
TEND_01188,COMP_023,5317180,6059126.0,Lost,2023-03-15,Infrastructure,Delhi
TEND_00352,COMP_006,7857313,5283561.0,Lost,2024-05-22,IT,Chennai
TEND_00826,COMP_049,2754238,6384776.0,Lost,2023-03-14,Health,Delhi
TEND_01464,COMP_053,2680708,9398526.0,Lost,2023-11-04,Education,Chennai
TEND_01064,COMP_073,3544679,8930366.0,Lost,2023-07-18,Health,Chennai
TEND_00237,COMP_078,5567209,8166757.0,Lost,2023-05-10,Defense,Delhi
TEND_00231,COMP_039,1817640,4687929.0,Lost,2024-07-25,Education,Bangalore
TEND_01233,COMP_083,6773771,8462233.0,Lost,2024-09-06,Health,Chennai
TEND_00892,COMP_025,1335160,2878552.0,Lost,2024-05-01,IT,Delhi
TEND_01236,COMP_058,6130526,7421519.0,Lost,2023-05-31,IT,Bangalore
TEND_00709,COMP_071,5223036,5746934.0,Lost,2024-10-30,Education,Chennai
TEND_00966,COMP_020,1475472,1180377.6,Won,2023-07-25,Defense,Bangalore
TEND_00599,COMP_045,98984,5461775.0,Lost,2023-06-28,IT,Kolkata
TEND_01650,COMP_042,6606168,8749813.0,Lost,2023-07-16,IT,Hyderabad
TEND_00229,COMP_042,1554384,3090315.0,Lost,2023-03-30,Defense,Kolkata
TEND_00817,COMP_021,2280919,3189480.0,Lost,2024-03-09,Health,Bangalore
TEND_01251,COMP_051,6990119,3615834.0,Lost,2023-07-02,IT,Chennai
TEND_01425,COMP_062,1787095,1519030.75,Won,2023-07-28,Infrastructure,Delhi
TEND_00253,COMP_048,4830450,4637232.0,Won,2024-05-07,IT,Mumbai
TEND_00265,COMP_085,7519344,6896803.0,Lost,2023-05-10,Health,Delhi
TEND_01126,COMP_073,2159818,5787533.0,Lost,2024-10-26,Health,Mumbai
TEND_00987,COMP_071,2281785,7369222.0,Lost,2023-01-13,Education,Mumbai
TEND_00637,COMP_052,3903339,2672144.0,Lost,2024-09-25,Infrastructure,Chennai
TEND_00986,COMP_057,9517719,2870896.0,Lost,2023-04-16,Health,Bangalore
TEND_00775,COMP_100,1046107,4981792.0,Lost,2024-01-10,Defense,Delhi
TEND_00416,COMP_048,7180144,4921872.0,Lost,2024-08-04,Infrastructure,Bangalore
TEND_00916,COMP_038,4595583,2784956.0,Lost,2024-12-07,Infrastructure,Kolkata
TEND_01559,COMP_096,3797389,2664980.0,Lost,2024-11-28,Defense,Chennai
TEND_01126,COMP_046,4192807,766384.0,Lost,2023-04-09,IT,Chennai
TEND_00190,COMP_054,8038004,8953385.0,Lost,2024-08-16,Defense,Kolkata
TEND_01464,COMP_055,6295035,7761220.0,Lost,2024-08-09,Defense,Delhi
TEND_01242,COMP_068,3652279,2932698.0,Lost,2023-07-11,IT,Hyderabad
TEND_01272,COMP_087,5565989,2477593.0,Lost,2023-11-21,IT,Kolkata
TEND_00563,COMP_069,2171690,1824219.5999999999,Won,2024-12-26,IT,Delhi
TEND_00486,COMP_081,541234,3435742.0,Lost,2024-04-11,IT,Mumbai
TEND_00262,COMP_027,9959709,8590106.0,Lost,2024-01-02,IT,Chennai
TEND_00006,COMP_049,5451218,7402804.0,Lost,2023-11-14,Defense,Delhi
TEND_01195,COMP_096,6964550,6178066.0,Lost,2023-05-24,Education,Bangalore
TEND_01191,COMP_028,6217294,2932296.0,Lost,2024-01-19,Education,Bangalore
TEND_01608,COMP_030,9336029,7935624.649999999,Won,2023-08-04,Health,Chennai
TEND_01261,COMP_095,6956726,2781582.0,Lost,2023-12-27,Education,Kolkata
TEND_00840,COMP_099,5938794,8001056.0,Lost,2023-11-20,Education,Hyderabad
TEND_00177,COMP_078,7608158,1145500.0,Lost,2023-01-15,Defense,Kolkata
TEND_01035,COMP_071,6560425,1621590.0,Lost,2023-08-05,IT,Delhi
TEND_01393,COMP_070,8561017,5639176.0,Lost,2024-05-06,IT,Kolkata
TEND_00840,COMP_049,7937739,2006977.0,Lost,2024-06-30,Defense,Chennai
TEND_00329,COMP_048,819598,7094926.0,Lost,2023-07-02,Education,Delhi
TEND_00619,COMP_057,5342895,4077654.0,Lost,2023-09-27,Defense,Mumbai
TEND_00268,COMP_094,8021379,709468.0,Lost,2024-04-11,Health,Kolkata
TEND_01578,COMP_073,3381068,6545242.0,Lost,2024-09-03,IT,Kolkata
TEND_01526,COMP_029,3306415,7944963.0,Lost,2024-06-02,Infrastructure,Hyderabad
TEND_01520,COMP_058,924371,7023140.0,Lost,2024-06-25,Health,Delhi
TEND_00991,COMP_055,5704237,9313720.0,Lost,2024-04-11,Health,Bangalore
TEND_00809,COMP_090,1023548,3082099.0,Lost,2023-11-01,Defense,Kolkata
TEND_00186,COMP_040,3394014,4873426.0,Lost,2023-05-24,Education,Chennai
TEND_00601,COMP_035,7114746,8145706.0,Lost,2023-04-21,IT,Kolkata
TEND_01630,COMP_078,9652083,2087823.0,Lost,2023-08-20,Infrastructure,Hyderabad
TEND_01335,COMP_015,6266204,1093173.0,Lost,2024-11-21,Health,Mumbai
TEND_00397,COMP_005,5243542,8424341.0,Lost,2024-08-06,Infrastructure,Hyderabad
TEND_00399,COMP_096,3009034,6624137.0,Lost,2024-12-22,Education,Kolkata
TEND_00939,COMP_008,4624293,3838163.19,Won,2024-08-14,Education,Bangalore
TEND_00131,COMP_093,6756971,3822538.0,Lost,2024-05-14,Infrastructure,Kolkata
TEND_01211,COMP_066,93585,270049.0,Lost,2024-08-17,IT,Delhi
TEND_01350,COMP_075,2589448,792419.0,Lost,2024-07-07,Education,Kolkata
TEND_01618,COMP_022,159556,5483684.0,Lost,2023-09-30,Infrastructure,Bangalore
TEND_00882,COMP_083,1625557,6075489.0,Lost,2024-12-03,Health,Delhi
TEND_00209,COMP_028,8356461,5582803.0,Lost,2023-06-22,Infrastructure,Chennai
TEND_01092,COMP_057,2059021,2425932.0,Lost,2023-01-07,Infrastructure,Delhi
TEND_01567,COMP_028,1251482,1699753.0,Lost,2023-06-04,Defense,Hyderabad
TEND_00274,COMP_011,592335,556794.9,Won,2024-06-05,Education,Mumbai
TEND_00873,COMP_075,4320070,616107.0,Lost,2024-06-29,IT,Hyderabad
TEND_01004,COMP_024,6750379,2131213.0,Lost,2024-07-01,IT,Delhi
TEND_01596,COMP_006,3610920,3403509.0,Lost,2024-06-01,Defense,Chennai
TEND_01537,COMP_091,6910006,2824499.0,Lost,2023-08-03,IT,Kolkata
TEND_01250,COMP_023,2534413,7358834.0,Lost,2023-05-14,Infrastructure,Delhi
TEND_01142,COMP_024,2957360,8982492.0,Lost,2023-10-12,Defense,Hyderabad
TEND_01180,COMP_011,5945544,2044254.0,Lost,2023-05-06,Health,Delhi
TEND_00660,COMP_034,5747469,5089842.0,Lost,2024-03-14,Education,Delhi
TEND_01111,COMP_048,2285000,9421079.0,Lost,2024-11-16,Education,Delhi
TEND_00618,COMP_069,6958531,5636410.11,Won,2023-06-01,Education,Chennai
TEND_01488,COMP_014,4372252,6637910.0,Lost,2023-11-27,Infrastructure,Bangalore
TEND_00747,COMP_097,5872184,5606112.0,Lost,2024-06-21,Health,Bangalore
TEND_00411,COMP_098,452690,393840.3,Won,2024-01-18,Defense,Delhi
TEND_00106,COMP_016,2598421,5062650.0,Lost,2023-04-25,Defense,Chennai
TEND_00035,COMP_066,2004109,7233238.0,Lost,2024-04-26,Education,Chennai
TEND_00917,COMP_089,4472880,7954699.0,Lost,2023-10-11,Health,Delhi
TEND_00974,COMP_048,7255547,3662556.0,Lost,2023-03-16,Health,Hyderabad
TEND_00012,COMP_066,8373735,303517.0,Lost,2023-06-15,Health,Hyderabad
TEND_01171,COMP_076,6507294,6473540.0,Lost,2023-07-08,IT,Mumbai
TEND_00098,COMP_029,1434250,750475.0,Lost,2023-03-19,IT,Delhi
TEND_00112,COMP_029,111087,9181621.0,Lost,2024-08-24,Education,Mumbai
TEND_00052,COMP_006,6459907,4383843.0,Lost,2024-11-18,Health,Hyderabad
TEND_00547,COMP_077,1546176,469226.0,Lost,2023-01-21,Health,Hyderabad
TEND_00851,COMP_066,89353,4162923.0,Lost,2024-07-19,Defense,Delhi
TEND_00461,COMP_024,6534531,5658201.0,Lost,2023-07-03,Defense,Mumbai
TEND_00803,COMP_074,3410011,6348745.0,Lost,2023-08-10,Education,Mumbai
TEND_00892,COMP_086,7704909,6626221.74,Won,2023-11-24,Health,Delhi
TEND_01197,COMP_004,4309622,3448096.0,Lost,2023-06-28,Education,Mumbai
TEND_01460,COMP_093,5009617,6323602.0,Lost,2023-04-22,Defense,Kolkata
TEND_00954,COMP_042,5775570,9188558.0,Lost,2024-12-26,Defense,Hyderabad
TEND_00402,COMP_084,466880,6188326.0,Lost,2023-02-28,IT,Bangalore
TEND_00783,COMP_094,7122695,220211.0,Lost,2023-11-23,Education,Chennai
TEND_00674,COMP_004,7483296,7564817.0,Lost,2024-09-12,Education,Mumbai
TEND_00157,COMP_084,5015050,7457620.0,Lost,2024-10-30,Health,Mumbai
TEND_01090,COMP_079,863168,4302950.0,Lost,2023-07-10,Health,Chennai
TEND_00587,COMP_019,275281,8699406.0,Lost,2023-07-19,IT,Mumbai
TEND_00680,COMP_075,3832875,6093055.0,Lost,2023-11-08,Infrastructure,Chennai
TEND_01429,COMP_088,3045765,2771646.15,Won,2024-12-08,Infrastructure,Delhi
TEND_00090,COMP_029,7784102,3936113.0,Lost,2023-02-04,Infrastructure,Kolkata
TEND_01081,COMP_004,5645108,7065988.0,Lost,2024-01-14,Education,Kolkata
TEND_01069,COMP_030,5724719,8589291.0,Lost,2024-01-22,Education,Hyderabad
TEND_00101,COMP_061,8708144,4775741.0,Lost,2023-08-25,Defense,Bangalore
TEND_01205,COMP_093,6659280,5650126.0,Lost,2024-09-07,Education,Mumbai
TEND_01325,COMP_034,5550306,1951039.0,Lost,2024-06-02,Education,Bangalore
TEND_00181,COMP_046,4422093,1500465.0,Lost,2023-10-10,Education,Delhi
TEND_00317,COMP_065,1611729,9427778.0,Lost,2023-01-01,IT,Kolkata
TEND_00888,COMP_053,5081595,256830.0,Lost,2024-12-31,Education,Delhi
TEND_00232,COMP_089,5528047,5484381.0,Lost,2024-04-08,Health,Delhi
TEND_00304,COMP_014,9120277,8664263.15,Won,2023-08-18,Health,Mumbai
TEND_00766,COMP_051,1169043,6561616.0,Lost,2023-06-21,Defense,Delhi
TEND_01447,COMP_028,7153230,3374049.0,Lost,2023-03-28,IT,Kolkata
TEND_00125,COMP_081,2608231,4800976.0,Lost,2024-07-06,Health,Bangalore
TEND_01337,COMP_034,6709908,6106016.28,Won,2023-05-03,IT,Kolkata
TEND_01416,COMP_074,3130389,6942673.0,Lost,2023-10-25,IT,Mumbai
TEND_00162,COMP_065,1711909,3791169.0,Lost,2024-11-20,Defense,Kolkata
TEND_01079,COMP_072,2706138,6047296.0,Lost,2024-07-28,IT,Chennai
TEND_00895,COMP_002,160078,120388.0,Lost,2024-04-28,Education,Bangalore
TEND_00025,COMP_034,1965631,6855183.0,Lost,2023-06-14,IT,Chennai
TEND_00155,COMP_030,6364127,1820767.0,Lost,2024-11-29,Defense,Chennai
TEND_01247,COMP_068,9842712,8028823.0,Lost,2024-01-18,Defense,Hyderabad
TEND_00391,COMP_020,2058187,8418296.0,Lost,2023-07-28,Defense,Mumbai
TEND_00673,COMP_062,1709066,7512866.0,Lost,2024-03-07,Health,Delhi
TEND_00797,COMP_064,2198815,5539339.0,Lost,2024-01-24,Education,Chennai
TEND_01431,COMP_041,7405740,7331682.6,Won,2024-07-13,Health,Kolkata
TEND_01493,COMP_043,4556259,6441567.0,Lost,2023-08-12,Infrastructure,Delhi
TEND_00273,COMP_033,7523915,8047619.0,Lost,2023-01-03,Education,Kolkata
TEND_00004,COMP_041,7708426,4066080.0,Lost,2024-01-07,IT,Kolkata
TEND_00646,COMP_010,6454003,7712857.0,Lost,2024-11-17,Defense,Delhi
TEND_01533,COMP_099,4185314,4473690.0,Lost,2024-03-21,Infrastructure,Delhi
TEND_01299,COMP_048,960681,5484433.0,Lost,2024-09-02,Education,Kolkata
TEND_00472,COMP_094,1657618,1641041.82,Won,2023-04-26,Health,Mumbai
TEND_01153,COMP_001,3946830,2926777.0,Lost,2023-09-27,Defense,Bangalore
TEND_01209,COMP_039,4386787,2793996.0,Lost,2024-03-22,Health,Hyderabad
TEND_01296,COMP_045,2805423,240246.0,Lost,2024-01-03,Education,Bangalore
TEND_01095,COMP_027,121295,105526.65,Won,2023-09-10,Education,Mumbai
TEND_00805,COMP_033,9182582,8944691.0,Lost,2023-11-13,Infrastructure,Hyderabad
TEND_00315,COMP_059,7663287,1057384.0,Lost,2024-02-19,IT,Delhi
TEND_00361,COMP_058,3495376,8188478.0,Lost,2023-04-05,Health,Hyderabad
TEND_00097,COMP_027,5301035,911964.0,Lost,2023-01-24,Infrastructure,Kolkata
TEND_01217,COMP_036,3662600,8482712.0,Lost,2024-09-19,Defense,Bangalore
TEND_00101,COMP_024,875816,908663.0,Lost,2024-10-24,IT,Hyderabad
TEND_00519,COMP_067,8813313,5828182.0,Lost,2023-02-19,Infrastructure,Kolkata
TEND_00083,COMP_047,2076793,7025571.0,Lost,2024-05-16,Health,Mumbai
TEND_00789,COMP_016,604594,5379538.0,Lost,2024-12-18,Education,Hyderabad
TEND_01521,COMP_069,8586326,6394449.0,Lost,2024-05-12,Defense,Kolkata
TEND_00879,COMP_093,3554473,1251861.0,Lost,2023-12-01,Health,Mumbai
TEND_00095,COMP_089,7349695,3164612.0,Lost,2023-03-20,IT,Delhi
TEND_00840,COMP_077,2254664,2936005.0,Lost,2024-08-04,IT,Mumbai
TEND_01409,COMP_070,4391747,4981600.0,Lost,2023-01-27,Education,Mumbai
TEND_00114,COMP_064,9957771,4781319.0,Lost,2023-09-28,Education,Bangalore
TEND_00113,COMP_095,736976,707496.96,Won,2024-07-15,Defense,Kolkata
TEND_01426,COMP_037,2522189,8527626.0,Lost,2023-09-04,Defense,Hyderabad
TEND_00668,COMP_023,8556404,5674481.0,Lost,2024-08-13,Education,Bangalore
TEND_01558,COMP_096,1291082,2099780.0,Lost,2024-01-22,Education,Chennai
TEND_00943,COMP_048,5234502,8036208.0,Lost,2024-12-02,IT,Mumbai
TEND_00958,COMP_046,6611000,4468408.0,Lost,2024-07-12,Education,Chennai
TEND_00066,COMP_099,6721458,887186.0,Lost,2023-12-27,Infrastructure,Bangalore
TEND_00136,COMP_038,4942306,5397727.0,Lost,2024-05-02,Health,Kolkata
TEND_01088,COMP_071,3724515,7161355.0,Lost,2023-12-18,Education,Bangalore
TEND_00935,COMP_092,1629159,7271585.0,Lost,2024-12-01,Defense,Kolkata
TEND_00524,COMP_076,9345925,5583917.0,Lost,2023-09-13,Infrastructure,Kolkata
TEND_00432,COMP_081,4565488,1169905.0,Lost,2023-08-10,Defense,Delhi
TEND_01108,COMP_083,6091495,3150958.0,Lost,2023-01-01,Infrastructure,Mumbai
TEND_00520,COMP_077,9106842,5604277.0,Lost,2024-06-29,Education,Bangalore
TEND_00440,COMP_069,8817088,8376233.6,Won,2024-03-21,Health,Kolkata
TEND_00217,COMP_060,6374167,8638059.0,Lost,2023-03-20,Defense,Bangalore
TEND_01068,COMP_079,841971,825131.58,Won,2023-08-24,Infrastructure,Bangalore
TEND_00757,COMP_053,551157,448322.0,Lost,2023-11-30,IT,Kolkata
TEND_01537,COMP_053,4428727,3941567.0300000003,Won,2023-12-15,Education,Hyderabad
TEND_01548,COMP_037,4174499,3798794.0900000003,Won,2023-04-08,Health,Chennai
TEND_00016,COMP_092,5996594,7062403.0,Lost,2023-03-23,Education,Mumbai
TEND_01028,COMP_012,5156799,4122716.0,Lost,2024-05-16,IT,Mumbai
TEND_00932,COMP_083,4377576,6986447.0,Lost,2024-04-21,Health,Hyderabad
TEND_00166,COMP_091,5012140,5082285.0,Lost,2024-12-04,IT,Delhi
TEND_00890,COMP_021,2849487,1953802.0,Lost,2024-07-03,Education,Hyderabad
TEND_00837,COMP_054,2954941,7379901.0,Lost,2023-01-14,Infrastructure,Delhi
TEND_00220,COMP_017,8033441,1593075.0,Lost,2024-01-27,Education,Delhi
TEND_00578,COMP_086,5370385,538948.0,Lost,2023-12-13,Education,Hyderabad
TEND_00114,COMP_045,2150021,4213962.0,Lost,2023-11-06,Education,Mumbai
TEND_00405,COMP_069,9799436,6565645.0,Lost,2024-01-21,Defense,Chennai
TEND_00472,COMP_072,6978040,6734921.0,Lost,2023-07-28,IT,Mumbai
TEND_00725,COMP_049,668467,8428190.0,Lost,2023-12-23,IT,Mumbai
TEND_00899,COMP_090,5383152,7273161.0,Lost,2024-08-23,IT,Mumbai
TEND_00501,COMP_045,7378141,825641.0,Lost,2024-07-21,Defense,Hyderabad
TEND_01628,COMP_006,5122148,4511134.0,Lost,2023-04-04,Infrastructure,Hyderabad
TEND_01335,COMP_014,1757923,1599205.0,Lost,2023-04-03,Education,Hyderabad
TEND_00875,COMP_042,5184207,6651963.0,Lost,2023-12-06,Infrastructure,Mumbai
TEND_01105,COMP_057,8566999,6696143.0,Lost,2024-08-19,Defense,Chennai
TEND_00918,COMP_056,6780886,2596331.0,Lost,2024-03-20,IT,Delhi
TEND_01542,COMP_068,9455634,3172748.0,Lost,2023-01-22,Education,Bangalore
TEND_00172,COMP_031,5903584,9268644.0,Lost,2023-10-18,Health,Delhi
TEND_01453,COMP_003,8220528,4046070.0,Lost,2024-04-29,Health,Delhi
TEND_00438,COMP_026,4351754,7410624.0,Lost,2023-11-02,Infrastructure,Bangalore
TEND_01472,COMP_001,2319042,2928791.0,Lost,2024-09-25,IT,Mumbai
TEND_01228,COMP_022,2033509,3541605.0,Lost,2023-05-08,Health,Chennai
TEND_00258,COMP_008,7790141,4993600.0,Lost,2024-09-16,Infrastructure,Chennai
TEND_00467,COMP_043,166381,146415.28,Won,2023-09-30,Defense,Delhi
TEND_00349,COMP_071,1571701,5356499.0,Lost,2024-03-17,Infrastructure,Bangalore
TEND_00568,COMP_055,6155525,353623.0,Lost,2024-05-17,Infrastructure,Kolkata
TEND_01138,COMP_007,9637994,3692371.0,Lost,2023-05-10,Infrastructure,Mumbai
TEND_01411,COMP_090,3488618,3341903.0,Lost,2023-05-12,Education,Delhi
TEND_00836,COMP_099,7963697,6043223.0,Lost,2024-08-19,Infrastructure,Chennai
TEND_00416,COMP_048,2507184,1192116.0,Lost,2024-04-26,Infrastructure,Hyderabad
TEND_01503,COMP_029,4153022,3817763.0,Lost,2024-01-25,Education,Hyderabad
TEND_00085,COMP_018,1468175,6523450.0,Lost,2024-08-15,Education,Bangalore
TEND_01050,COMP_014,3856688,355375.0,Lost,2023-11-21,Defense,Bangalore
TEND_01372,COMP_065,7315795,2171453.0,Lost,2023-03-10,IT,Delhi
TEND_00073,COMP_073,3822962,1316300.0,Lost,2024-10-21,Health,Kolkata
TEND_00552,COMP_097,4091776,5283631.0,Lost,2024-03-23,Health,Chennai
TEND_00217,COMP_038,2777423,3887411.0,Lost,2024-06-11,Infrastructure,Delhi
TEND_01621,COMP_090,5759840,6355208.0,Lost,2024-09-08,Defense,Kolkata
TEND_00268,COMP_045,5180397,9449024.0,Lost,2023-06-14,Infrastructure,Bangalore
TEND_00731,COMP_092,3501356,6172764.0,Lost,2024-05-02,Health,Hyderabad
TEND_01168,COMP_038,9570173,5904046.0,Lost,2024-12-13,Education,Mumbai
TEND_00928,COMP_009,3494084,3389261.48,Won,2024-12-09,IT,Hyderabad
TEND_00186,COMP_097,2977109,7985879.0,Lost,2024-03-01,Defense,Chennai
TEND_01564,COMP_088,7029451,3386861.0,Lost,2024-11-27,Education,Chennai
TEND_01143,COMP_014,8569981,7404201.0,Lost,2023-09-22,IT,Hyderabad
TEND_00247,COMP_087,7828484,6654211.399999999,Won,2024-09-03,Defense,Hyderabad
TEND_00060,COMP_012,8553902,4357717.0,Lost,2023-12-08,Defense,Kolkata
TEND_00611,COMP_100,6264624,2027243.0,Lost,2024-12-26,Health,Delhi
TEND_00914,COMP_040,4892611,3458654.0,Lost,2023-10-05,Education,Bangalore
TEND_00711,COMP_013,6407182,6031417.0,Lost,2024-11-04,Defense,Kolkata
TEND_00070,COMP_098,4385868,7908020.0,Lost,2024-03-14,Defense,Mumbai
TEND_00604,COMP_084,9864996,3315209.0,Lost,2023-06-06,IT,Hyderabad
TEND_01544,COMP_076,2265167,8649008.0,Lost,2024-02-26,Health,Mumbai
TEND_01609,COMP_098,3936402,7368988.0,Lost,2023-09-08,Infrastructure,Mumbai
TEND_00066,COMP_047,6595535,3369664.0,Lost,2024-08-31,Health,Kolkata
TEND_00592,COMP_072,6892385,8255880.0,Lost,2024-06-13,Infrastructure,Bangalore
TEND_01129,COMP_043,9128552,3639058.0,Lost,2023-11-23,Education,Chennai
TEND_01104,COMP_038,738105,627389.25,Won,2023-04-07,Education,Delhi
TEND_00585,COMP_023,2039173,8162654.0,Lost,2024-05-27,Defense,Chennai
TEND_00927,COMP_047,3130761,4257377.0,Lost,2023-08-04,Education,Bangalore
TEND_01447,COMP_016,1464466,278782.0,Lost,2023-05-12,Defense,Chennai
TEND_01611,COMP_019,495101,6951117.0,Lost,2023-09-17,Health,Hyderabad
TEND_01240,COMP_088,8156609,6157674.0,Lost,2023-05-05,Education,Hyderabad
TEND_01532,COMP_077,7463023,6492830.01,Won,2023-03-23,Health,Kolkata
TEND_00392,COMP_004,7663269,3780466.0,Lost,2023-10-10,Health,Mumbai
